Country,Occupation,Female (Sex),Male (Sex),ratio
Poland,"6. Skilled agricultural, forestry and fishery workers (ISCO-08)",1315.0,1504.0,0.8743351063829787
Poland,7. Craft and related trades workers (ISCO-08),1365.0,1991.0,0.6855851330989452
Poland,"8. Plant and machine operators, and assemblers (ISCO-08)",1622.0,1994.0,0.8134403209628887
Poland,9. Elementary occupations (ISCO-08),1259.0,1511.0,0.8332230311052283
Poland,TOTAL. Total (ISCO-08),2093.0,2544.0,0.8227201257861635
Portugal,1. Managers (ISCO-08),2175.0,2801.0,0.776508389860764
Portugal,2. Professionals (ISCO-08),2062.0,2341.0,0.8808201623237932
Portugal,3. Technicians and associate professionals (ISCO-08),1506.0,1795.0,0.8389972144846797
Portugal,4. Clerical support workers (ISCO-08),1224.0,1325.0,0.9237735849056604
Portugal,5. Service and sales workers (ISCO-08),981.0,1306.0,0.7511485451761103
Portugal,"6. Skilled agricultural, forestry and fishery workers (ISCO-08)",776.0,947.0,0.8194297782470961
Portugal,7. Craft and related trades workers (ISCO-08),969.0,1219.0,0.7949138638228056
Portugal,"8. Plant and machine operators, and assemblers (ISCO-08)",957.0,1279.0,0.7482408131352619
Portugal,9. Elementary occupations (ISCO-08),785.0,998.0,0.7865731462925851
Portugal,TOTAL. Total (ISCO-08),1316.0,1564.0,0.8414322250639387
Romania,TOTAL. Total (ISCO-08),1655.0,1773.0,0.9334461364918217
Slovakia,1. Managers (ISCO-08),3611.0,5207.0,0.6934895333205301
Slovakia,2. Professionals (ISCO-08),2362.0,3243.0,0.7283379586802343
Slovakia,3. Technicians and associate professionals (ISCO-08),2077.0,2687.0,0.7729810197245999
Slovakia,4. Clerical support workers (ISCO-08),1674.0,1925.0,0.8696103896103896
Slovakia,5. Service and sales workers (ISCO-08),1310.0,1803.0,0.7265668330560178
Slovakia,"6. Skilled agricultural, forestry and fishery workers (ISCO-08)",1329.0,1557.0,0.8535645472061657
Slovakia,7. Craft and related trades workers (ISCO-08),1475.0,2021.0,0.7298367144977734
Slovakia,"8. Plant and machine operators, and assemblers (ISCO-08)",1473.0,1851.0,0.7957860615883307
Slovakia,9. Elementary occupations (ISCO-08),1039.0,1345.0,0.7724907063197026
Slovakia,TOTAL. Total (ISCO-08),1869.0,2397.0,0.7797246558197747
Slovenia,1. Managers (ISCO-08),4683.0,4840.0,0.9675619834710744
Slovenia,2. Professionals (ISCO-08),3756.0,4443.0,0.8453747467927076
Slovenia,3. Technicians and associate professionals (ISCO-08),2897.0,3335.0,0.8686656671664168
Slovenia,4. Clerical support workers (ISCO-08),2496.0,2481.0,1.0060459492140266
Slovenia,5. Service and sales workers (ISCO-08),1851.0,2290.0,0.8082969432314411
Slovenia,"6. Skilled agricultural, forestry and fishery workers (ISCO-08)",1827.0,2083.0,0.8771003360537686
Slovenia,7. Craft and related trades workers (ISCO-08),1853.0,2300.0,0.8056521739130434
Slovenia,"8. Plant and machine operators, and assemblers (ISCO-08)",1842.0,2298.0,0.8015665796344648
Slovenia,9. Elementary occupations (ISCO-08),1607.0,1934.0,0.8309203722854188
Slovenia,TOTAL. Total (ISCO-08),2783.0,2957.0,0.9411565776124451
Spain,1. Managers (ISCO-08),5399.0,6591.0,0.819147322105902
Spain,2. Professionals (ISCO-08),3980.0,4814.0,0.8267552970502701
Spain,3. Technicians and associate professionals (ISCO-08),2993.0,3723.0,0.803921568627451
Spain,4. Clerical support workers (ISCO-08),2473.0,3076.0,0.8039661898569571
Spain,5. Service and sales workers (ISCO-08),1714.0,2410.0,0.7112033195020747
Spain,"6. Skilled agricultural, forestry and fishery workers (ISCO-08)",1987.0,1992.0,0.9974899598393574
Spain,7. Craft and related trades workers (ISCO-08),1951.0,2643.0,0.738176314793795
Spain,"8. Plant and machine operators, and assemblers (ISCO-08)",2275.0,2764.0,0.823082489146165
Spain,9. Elementary occupations (ISCO-08),1320.0,1949.0,0.6772703950743971
Spain,TOTAL. Total (ISCO-08),2463.0,3180.0,0.7745283018867924
Sweden,1. Managers (ISCO-08),5590.0,6676.0,0.8373277411623726
Sweden,2. Professionals (ISCO-08),3899.0,4810.0,0.8106029106029106
Sweden,3. Technicians and associate professionals (ISCO-08),3620.0,4273.0,0.8471799672361339
Sweden,4. Clerical support workers (ISCO-08),3150.0,3270.0,0.963302752293578
Sweden,5. Service and sales workers (ISCO-08),2919.0,3037.0,0.9611458676325321
Sweden,"6. Skilled agricultural, forestry and fishery workers (ISCO-08)",2838.0,2999.0,0.9463154384794932
Sweden,7. Craft and related trades workers (ISCO-08),3175.0,3586.0,0.8853876185164529
Sweden,"8. Plant and machine operators, and assemblers (ISCO-08)",3191.0,3438.0,0.9281559045956952
Sweden,9. Elementary occupations (ISCO-08),2616.0,2862.0,0.9140461215932913
Sweden,TOTAL. Total (ISCO-08),3429.0,4028.0,0.8512909632571996
